ID,Age,Attrition,AttritionBinary,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,DailyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
11,43,No,0,Travel_Rarely,Research & Development,6,3,Medical,1,1866,1,Female,81,2,5,Manager,3,Married,19392,22539,823,7,Y,No,13,3,4,80,0,21,2,3,16,12,6,14
12,28,No,0,Non-Travel,Human Resources,1,2,Life Sciences,1,1858,3,Male,43,3,1,Human Resources,4,Divorced,2706,10494,280,1,Y,No,15,3,2,80,1,3,2,3,3,2,2,2
13,35,No,0,Travel_Rarely,Research & Development,7,3,Other,1,845,3,Male,59,3,3,Manufacturing Director,3,Single,10221,18869,950,3,Y,No,21,4,2,80,0,17,3,4,8,5,1,6
14,30,No,0,Travel_Rarely,Sales,2,1,Technical Degree,1,508,3,Male,72,3,1,Sales Representative,2,Married,2476,17434,202,1,Y,No,18,3,1,80,1,1,3,3,1,0,0,0
15,46,No,0,Travel_Rarely,Human Resources,1,2,Life Sciences,1,1314,4,Female,44,3,1,Human Resources,1,Single,3423,22957,991,6,Y,No,12,3,3,80,0,10,3,4,7,6,5,7
16,31,No,0,Non-Travel,Sales,20,2,Marketing,1,947,4,Female,45,3,2,Sales Executive,3,Married,6932,24406,1188,1,Y,No,13,3,4,80,1,9,2,2,9,8,0,0
17,32,No,0,Travel_Rarely,Research & Development,3,4,Medical,1,966,3,Female,93,3,2,Manufacturing Director,1,Married,6725,13554,498,1,Y,No,12,3,3,80,1,8,2,4,8,7,6,3
18,46,No,0,Non-Travel,Research & Development,7,4,Medical,1,487,3,Female,30,3,2,Manufacturing Director,3,Married,5258,16044,1144,2,Y,No,14,3,3,80,0,7,2,4,1,0,0,0
19,34,No,0,Travel_Rarely,Research & Development,2,4,Medical,1,1755,4,Male,97,4,1,Research Scientist,4,Married,2932,5586,181,0,Y,Yes,14,3,1,80,3,6,3,3,5,0,1,2
20,44,No,0,Travel_Rarely,Research & Development,1,4,Life Sciences,1,1903,2,Male,78,4,2,Healthcare Representative,1,Married,5033,9364,170,2,Y,No,15,3,4,80,1,10,5,3,2,0,2,2
21,36,No,0,Travel_Rarely,Research & Development,9,2,Medical,1,699,2,Male,48,2,2,Manufacturing Director,2,Divorced,8847,13934,913,2,Y,Yes,11,3,3,80,1,13,2,3,3,2,0,2
22,48,No,0,Travel_Rarely,Sales,2,1,Marketing,1,712,2,Male,56,4,2,Sales Executive,2,Married,8120,18597,817,3,Y,No,12,3,4,80,0,12,3,3,2,2,2,2
23,43,No,0,Travel_Frequently,Research & Development,9,5,Medical,1,663,4,Male,72,3,2,Laboratory Technician,3,Divorced,5679,19627,1001,3,Y,Yes,13,3,2,80,1,10,3,3,8,7,4,7
24,31,No,0,Travel_Frequently,Sales,2,4,Other,1,1613,4,Male,54,3,2,Sales Executive,1,Single,5332,21602,715,7,Y,No,13,3,4,80,0,10,3,3,5,2,0,3
25,33,No,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1,969,2,Female,42,2,2,Healthcare Representative,4,Single,6949,12291,1069,0,Y,No,14,3,1,80,0,6,3,3,5,0,1,4
26,44,No,0,Travel_Rarely,Sales,5,3,Marketing,1,1267,2,Male,88,3,5,Manager,2,Married,18213,8751,1099,7,Y,No,11,3,3,80,1,26,5,3,22,9,3,10
27,38,No,0,Travel_Rarely,Sales,14,3,Life Sciences,1,1582,3,Male,80,3,2,Sales Executive,2,Married,9924,12355,1245,0,Y,No,11,3,4,80,1,10,3,3,9,8,7,7
30,52,No,0,Non-Travel,Research & Development,19,4,Medical,1,791,4,Male,41,3,1,Research Scientist,4,Married,4258,26589,715,0,Y,No,18,3,1,80,1,5,3,3,4,3,1,2
31,32,No,0,Travel_Frequently,Sales,9,2,Medical,1,195,4,Male,35,1,2,Sales Executive,4,Divorced,4668,22812,689,0,Y,No,17,3,4,80,3,9,2,4,8,7,0,7
32,33,No,0,Travel_Rarely,Research & Development,21,3,Medical,1,1698,2,Male,79,4,1,Laboratory Technician,2,Married,2028,13637,267,1,Y,No,18,3,4,80,3,14,6,3,14,11,2,13
33,46,No,0,Travel_Rarely,Sales,2,3,Technical Degree,1,363,3,Female,75,1,4,Manager,2,Married,16872,14977,488,3,Y,Yes,12,3,2,80,1,28,2,2,7,7,7,7
34,35,No,0,Travel_Rarely,Research & Development,1,4,Medical,1,1172,4,Male,58,2,1,Laboratory Technician,3,Married,2258,16340,982,6,Y,No,12,3,2,80,1,10,2,3,8,0,1,7
35,32,No,0,Travel_Rarely,Research & Development,5,4,Life Sciences,1,1966,4,Male,56,2,2,Manufacturing Director,4,Single,9679,10138,1373,8,Y,No,24,4,2,80,0,8,1,3,1,0,0,0
36,32,No,0,Travel_Frequently,Research & Development,7,3,Life Sciences,1,359,2,Male,100,4,1,Laboratory Technician,2,Married,2794,26062,1311,1,Y,No,20,4,3,80,0,5,3,1,5,1,0,3
39,56,No,0,Travel_Rarely,Human Resources,8,4,Life Sciences,1,1338,4,Male,99,3,5,Manager,2,Single,19717,4022,206,6,Y,No,14,3,1,80,0,36,4,3,7,3,7,7
40,31,No,0,Travel_Frequently,Sales,20,3,Life Sciences,1,1135,3,Male,67,4,1,Sales Representative,4,Married,2791,21981,793,0,Y,No,12,3,1,80,1,3,4,3,2,2,2,2
41,58,No,0,Non-Travel,Sales,2,3,Medical,1,1824,2,Male,52,3,4,Manager,2,Divorced,16291,22577,350,4,Y,No,22,4,4,80,1,37,0,2,16,9,14,14
42,45,No,0,Travel_Rarely,Sales,2,2,Technical Degree,1,783,2,Male,46,1,2,Sales Representative,3,Single,6632,12388,954,0,Y,No,13,3,1,80,0,9,3,3,8,7,3,1
43,49,No,0,Travel_Rarely,Research & Development,16,3,Medical,1,1674,4,Female,74,3,1,Laboratory Technician,1,Divorced,2587,24941,464,4,Y,Yes,16,3,2,80,1,17,2,2,2,2,2,2
44,42,No,0,Travel_Rarely,Research & Development,9,2,Other,1,1595,4,Male,93,2,5,Manager,4,Single,19613,26362,1059,8,Y,No,22,4,4,80,0,24,2,3,1,0,0,1
45,23,No,0,Travel_Rarely,Research & Development,1,2,Life Sciences,1,1270,4,Male,47,3,1,Research Scientist,3,Married,1223,16901,373,1,Y,No,22,4,4,80,1,1,2,3,1,0,0,1
46,42,No,0,Travel_Frequently,Research & Development,9,2,Medical,1,1480,1,Female,74,3,1,Laboratory Technician,4,Single,3673,16458,748,1,Y,No,13,3,3,80,0,12,3,3,12,9,5,8
48,38,No,0,Travel_Rarely,Sales,10,4,Marketing,1,1119,3,Male,73,2,3,Sales Executive,3,Divorced,8740,5569,770,0,Y,Yes,14,3,2,80,2,9,2,3,8,7,2,7
50,27,No,0,Non-Travel,Research & Development,9,3,Medical,1,218,4,Male,57,3,1,Research Scientist,2,Divorced,2024,5970,691,6,Y,No,18,3,4,80,1,6,1,1,2,2,2,2
51,38,No,0,Travel_Rarely,Research & Development,1,1,Life Sciences,1,662,3,Female,43,3,1,Research Scientist,1,Single,2619,14561,362,3,Y,No,17,3,4,80,0,8,3,2,0,0,0,0
52,58,No,0,Travel_Rarely,Research & Development,1,3,Medical,1,1423,4,Female,76,3,5,Research Director,1,Married,19701,22456,1055,3,Y,Yes,21,4,3,80,1,32,3,3,9,8,1,5
53,44,No,0,Travel_Rarely,Research & Development,2,1,Life Sciences,1,1246,1,Female,72,4,1,Research Scientist,4,Married,2011,19982,1117,1,Y,No,13,3,4,80,1,10,5,3,10,5,7,7
54,45,No,0,Non-Travel,Research & Development,4,2,Life Sciences,1,972,3,Male,57,3,2,Laboratory Technician,2,Married,4447,23163,805,1,Y,No,12,3,2,80,0,9,5,2,9,7,0,8
55,31,No,0,Travel_Rarely,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,746,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8
56,41,No,0,Travel_Rarely,Research & Development,9,4,Life Sciences,1,1772,3,Male,94,3,1,Laboratory Technician,1,Divorced,2289,20520,548,1,Y,No,20,4,2,80,2,5,2,3,5,3,0,4
58,29,No,0,Travel_Rarely,Research & Development,3,1,Medical,1,1586,2,Male,87,3,1,Laboratory Technician,1,Single,4723,16213,1370,1,Y,Yes,18,3,4,80,0,10,3,3,10,9,1,5
59,37,No,0,Non-Travel,Research & Development,1,4,Medical,1,380,1,Female,80,3,3,Research Director,4,Divorced,13603,11677,728,2,Y,Yes,18,3,1,80,2,15,2,3,5,2,0,2
62,36,No,0,Travel_Rarely,Research & Development,10,4,Technical Degree,1,1312,4,Female,63,3,3,Healthcare Representative,3,Married,7094,5747,325,3,Y,No,12,3,1,80,0,10,0,3,7,7,1,7
63,31,No,0,Travel_Rarely,Sales,2,2,Life Sciences,1,1996,1,Male,54,3,1,Sales Representative,3,Married,3067,6393,1154,0,Y,No,19,3,3,80,1,3,1,3,2,2,1,2
64,18,No,0,Non-Travel,Research & Development,14,3,Medical,1,1839,2,Female,33,3,1,Research Scientist,3,Single,1514,8018,1431,1,Y,No,16,3,3,80,0,0,4,1,0,0,0,0
66,32,No,0,Travel_Rarely,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,334,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
67,35,No,0,Travel_Rarely,Research & Development,6,4,Life Sciences,1,691,2,Male,82,1,2,Research Scientist,4,Single,6646,19368,1017,1,Y,No,13,3,2,80,0,17,3,3,17,11,11,8
68,23,No,0,Travel_Rarely,Research & Development,12,2,Other,1,1982,4,Male,78,3,1,Laboratory Technician,4,Single,2647,13672,571,1,Y,No,13,3,3,80,0,5,6,4,5,2,1,4
69,35,No,0,Travel_Frequently,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,664,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2
70,37,No,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1,391,4,Female,42,3,1,Research Scientist,4,Single,2115,15881,1372,1,Y,No,12,3,2,80,0,17,3,3,17,12,5,7
71,41,No,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1,1999,4,Male,76,3,1,Research Scientist,4,Married,2782,21412,642,3,Y,No,22,4,1,80,1,12,3,3,5,3,1,0
72,28,No,0,Travel_Rarely,Sales,5,3,Medical,1,1469,4,Male,84,3,2,Sales Executive,1,Single,8463,23490,866,0,Y,No,18,3,4,80,0,6,4,3,5,4,1,3
74,41,No,0,Travel_Rarely,Research & Development,12,4,Life Sciences,1,1158,2,Male,46,3,1,Laboratory Technician,4,Married,4766,9051,167,3,Y,Yes,11,3,1,80,1,6,4,3,1,0,0,0
76,30,No,0,Travel_Frequently,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,721,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7
77,34,No,0,Travel_Rarely,Sales,1,3,Technical Degree,1,1535,4,Male,64,2,3,Sales Executive,3,Married,7083,12288,971,1,Y,Yes,14,3,4,80,0,10,3,3,10,9,8,6
78,46,No,0,Travel_Rarely,Sales,1,4,Life Sciences,1,1602,4,Male,56,4,4,Manager,1,Single,17567,3156,563,1,Y,No,15,3,2,80,0,27,5,1,26,0,0,12
79,45,No,0,Non-Travel,Sales,6,3,Medical,1,302,4,Female,57,2,3,Sales Executive,4,Single,8865,16840,1052,6,Y,No,12,3,4,80,0,23,2,3,19,7,12,8
80,31,No,0,Travel_Rarely,Research & Development,2,1,Medical,1,1974,4,Female,59,1,1,Laboratory Technician,4,Divorced,1129,17536,1276,1,Y,Yes,11,3,3,80,3,1,4,3,1,0,0,0
82,35,No,0,Travel_Rarely,Research & Development,27,4,Life Sciences,1,1728,4,Male,49,3,2,Manufacturing Director,3,Married,6883,5151,1370,2,Y,No,16,3,2,80,1,17,3,3,7,7,0,7
83,38,No,0,Travel_Frequently,Research & Development,6,4,Life Sciences,1,1997,1,Male,72,2,2,Manufacturing Director,3,Married,5321,14284,508,2,Y,No,11,3,4,80,1,10,1,3,8,3,7,7
84,37,No,0,Travel_Rarely,Research & Development,6,3,Medical,1,474,3,Male,51,4,2,Research Scientist,1,Divorced,5974,17001,1319,4,Y,Yes,13,3,1,80,2,13,2,3,7,7,6,7
85,36,No,0,Travel_Rarely,Research & Development,2,4,Life Sciences,1,1294,3,Female,53,3,2,Manufacturing Director,2,Single,5410,2323,429,9,Y,Yes,11,3,4,80,0,18,2,3,16,14,5,12
86,59,No,0,Travel_Rarely,Research & Development,2,3,Life Sciences,1,1032,3,Female,69,2,4,Manufacturing Director,4,Single,13726,21829,715,3,Y,Yes,13,3,1,80,0,30,4,3,5,3,4,3
87,47,No,0,Travel_Rarely,Sales,14,4,Marketing,1,728,4,Male,42,3,2,Sales Executive,1,Single,4960,11825,703,2,Y,No,12,3,4,80,0,20,2,3,7,7,1,7
89,27,No,0,Travel_Frequently,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,994,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7
90,46,No,0,Travel_Rarely,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947,22822,705,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1
91,38,No,0,Travel_Frequently,Research & Development,2,2,Life Sciences,1,556,4,Male,42,3,1,Laboratory Technician,4,Married,1702,12106,1490,1,Y,Yes,23,4,3,80,1,1,3,3,1,0,0,0
94,35,No,0,Travel_Rarely,Research & Development,10,4,Medical,1,1587,1,Female,51,3,2,Healthcare Representative,3,Single,6142,4223,670,3,Y,Yes,16,3,3,80,0,10,4,3,5,2,0,4
95,50,No,0,Travel_Rarely,Research & Development,11,3,Life Sciences,1,226,3,Female,53,3,5,Manager,2,Single,19926,17053,1452,3,Y,No,15,3,2,80,0,21,5,3,5,4,4,4
96,42,No,0,Travel_Rarely,Sales,1,1,Life Sciences,1,387,2,Male,99,3,2,Sales Executive,3,Married,4907,24532,635,1,Y,No,25,4,3,80,0,20,3,3,20,16,11,6
97,46,No,0,Travel_Rarely,Sales,3,3,Life Sciences,1,1527,3,Female,51,3,4,Manager,2,Married,16606,11380,228,8,Y,No,12,3,4,80,1,23,2,4,13,12,5,1
98,37,No,0,Non-Travel,Research & Development,2,2,Life Sciences,1,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,15850,1040,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0
99,29,No,0,Travel_Frequently,Research & Development,2,1,Life Sciences,1,1513,4,Female,97,3,1,Laboratory Technician,2,Married,3180,4668,410,0,Y,No,13,3,3,80,3,4,3,3,3,2,0,2
100,34,No,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1,1447,4,Female,86,2,1,Laboratory Technician,2,Married,3294,3708,401,5,Y,No,17,3,1,80,1,7,2,2,5,4,0,2
101,27,No,0,Travel_Rarely,Research & Development,11,1,Life Sciences,1,1434,2,Male,91,3,1,Laboratory Technician,1,Married,2099,7679,1377,0,Y,No,14,3,2,80,0,6,3,4,5,0,1,4
102,31,No,0,Travel_Rarely,Sales,8,2,Life Sciences,1,1453,1,Male,31,3,3,Sales Executive,4,Divorced,10793,8386,326,1,Y,No,18,3,1,80,1,13,5,3,13,7,9,9
103,34,No,0,Non-Travel,Sales,4,4,Marketing,1,523,3,Female,72,3,2,Sales Executive,3,Married,6538,12740,1381,9,Y,No,15,3,1,80,1,6,3,3,3,2,1,2
104,23,No,0,Travel_Rarely,Research & Development,4,3,Medical,1,705,1,Male,58,4,1,Research Scientist,1,Married,2819,8544,885,2,Y,No,16,3,1,80,1,5,3,4,3,2,0,2
105,53,No,0,Travel_Rarely,Research & Development,2,3,Medical,1,1472,4,Male,39,4,4,Research Director,2,Single,16598,19764,447,4,Y,No,12,3,2,80,0,35,2,2,9,8,8,8
106,26,No,0,Travel_Rarely,Research & Development,3,4,Medical,1,1177,1,Male,82,4,1,Laboratory Technician,4,Married,4420,13421,1384,1,Y,No,22,4,2,80,1,8,2,3,8,7,0,7
107,29,No,0,Non-Travel,Research & Development,1,1,Technical Degree,1,208,4,Male,41,3,2,Manufacturing Director,3,Married,4319,26283,1496,1,Y,No,13,3,1,80,1,10,1,3,10,7,0,9
108,55,No,0,Travel_Rarely,Human Resources,26,4,Human Resources,1,1973,3,Male,71,4,5,Manager,2,Married,19636,25811,189,4,Y,Yes,18,3,1,80,1,35,0,3,10,9,1,4
110,32,No,0,Travel_Rarely,Research & Development,2,3,Technical Degree,1,2038,4,Male,78,3,1,Research Scientist,1,Single,2439,11288,529,1,Y,No,14,3,4,80,0,4,4,3,4,2,1,2
111,28,No,0,Travel_Frequently,Research & Development,6,3,Life Sciences,1,1154,3,Male,39,2,1,Research Scientist,3,Divorced,2703,22088,773,1,Y,Yes,14,3,4,80,1,3,2,3,3,1,0,2
112,52,No,0,Travel_Rarely,Research & Development,1,2,Life Sciences,1,976,4,Male,70,3,4,Manager,4,Married,17099,13829,1053,2,Y,No,15,3,2,80,1,26,2,2,9,8,7,8
113,52,No,0,Travel_Rarely,Research & Development,7,4,Life Sciences,1,1118,2,Male,87,3,3,Healthcare Representative,2,Single,10445,15322,994,7,Y,No,19,3,4,80,0,18,4,3,8,6,4,0
114,35,No,0,Non-Travel,Research & Development,2,4,Life Sciences,1,771,4,Female,61,3,2,Healthcare Representative,1,Divorced,5093,4761,1225,2,Y,No,11,3,1,80,1,16,2,4,1,0,0,0
115,35,No,0,Travel_Rarely,Sales,17,4,Life Sciences,1,1218,3,Male,94,3,2,Sales Executive,1,Married,8966,21026,1361,3,Y,Yes,15,3,4,80,3,15,2,3,7,7,1,7
116,37,No,0,Non-Travel,Sales,19,2,Medical,1,904,1,Male,32,3,3,Sales Executive,2,Single,7642,4814,1252,1,Y,Yes,13,3,4,80,0,10,2,3,10,0,0,9
117,25,No,0,Travel_Rarely,Sales,10,4,Life Sciences,1,1240,3,Male,57,3,2,Sales Executive,4,Single,4950,20623,1356,0,Y,No,14,3,2,80,0,5,4,3,4,3,1,1
118,29,No,0,Travel_Rarely,Research & Development,13,2,Other,1,2053,4,Male,46,2,2,Laboratory Technician,2,Married,4025,23679,1378,4,Y,Yes,13,3,1,80,1,10,2,3,4,3,0,3
119,41,No,0,Travel_Rarely,Research & Development,14,3,Life Sciences,1,227,1,Male,56,3,1,Research Scientist,3,Divorced,2451,4609,465,4,Y,No,12,3,1,80,1,13,2,3,9,8,1,8
120,34,No,0,Travel_Rarely,Research & Development,2,4,Technical Degree,1,1383,3,Female,98,3,2,Healthcare Representative,4,Single,6687,6163,404,1,Y,No,11,3,4,80,0,14,2,4,14,11,4,11
121,36,No,0,Non-Travel,Research & Development,8,3,Life Sciences,1,742,1,Female,63,4,3,Research Director,1,Married,11713,20335,427,9,Y,No,14,3,1,80,1,10,2,3,8,7,0,5
122,21,No,0,Travel_Rarely,Sales,5,1,Medical,1,2021,3,Male,58,3,1,Sales Representative,1,Single,2380,25479,501,1,Y,Yes,11,3,4,80,0,2,6,3,2,2,1,2
123,45,No,0,Travel_Rarely,Sales,9,3,Marketing,1,864,4,Male,74,3,3,Sales Executive,1,Divorced,10761,19239,930,4,Y,Yes,12,3,3,80,1,18,2,3,5,4,0,2
124,38,No,0,Travel_Rarely,Sales,7,4,Marketing,1,709,4,Female,46,2,2,Sales Executive,4,Single,4028,7791,243,0,Y,No,20,4,1,80,0,8,2,3,7,7,0,5
125,29,No,0,Travel_Frequently,Sales,2,2,Life Sciences,1,388,2,Male,44,3,2,Sales Executive,4,Single,4554,20260,442,1,Y,No,18,3,1,80,0,10,3,2,10,7,0,9
126,35,No,0,Travel_Rarely,Sales,7,4,Life Sciences,1,1962,3,Female,55,3,2,Sales Executive,4,Married,5204,13586,1224,1,Y,Yes,11,3,4,80,0,10,2,3,10,8,0,9
128,45,No,0,Travel_Rarely,Research & Development,25,2,Life Sciences,1,1888,2,Female,93,2,2,Manufacturing Director,4,Married,5906,23888,556,0,Y,No,13,3,4,80,2,10,2,2,9,8,3,8
129,43,No,0,Travel_Rarely,Research & Development,6,3,Medical,1,1402,1,Female,73,2,2,Research Scientist,3,Single,4081,20003,930,1,Y,Yes,14,3,1,80,0,20,3,1,20,7,1,8
130,46,No,0,Travel_Rarely,Sales,3,3,Technical Degree,1,1863,1,Female,45,4,4,Sales Executive,1,Divorced,13225,7739,1319,2,Y,No,12,3,4,80,1,25,5,3,19,17,2,8
131,29,No,0,Travel_Rarely,Sales,5,3,Medical,1,1669,1,Male,43,2,2,Sales Executive,2,Divorced,4187,3356,991,1,Y,Yes,13,3,2,80,1,10,3,2,10,0,0,9
132,49,No,0,Travel_Rarely,Sales,11,4,Marketing,1,1757,4,Female,80,3,2,Sales Executive,4,Single,4507,8191,1313,3,Y,No,12,3,3,80,0,8,1,4,5,1,0,4
133,42,No,0,Travel_Frequently,Research & Development,28,4,Technical Degree,1,551,4,Female,88,2,2,Healthcare Representative,4,Married,4523,4386,1368,0,Y,No,11,3,4,80,3,7,4,4,6,5,0,4
134,39,No,0,Travel_Rarely,Research & Development,12,3,Medical,1,1654,4,Male,66,3,2,Manufacturing Director,2,Married,5295,7693,492,4,Y,No,21,4,3,80,0,7,3,3,5,4,1,0
135,43,No,0,Travel_Frequently,Research & Development,10,4,Life Sciences,1,448,3,Female,82,2,2,Laboratory Technician,3,Divorced,5257,6227,559,1,Y,No,11,3,2,80,1,9,3,4,9,7,0,0
136,40,No,0,Travel_Frequently,Research & Development,2,2,Medical,1,807,3,Female,38,4,2,Healthcare Representative,2,Married,4244,9931,791,1,Y,No,24,4,4,80,1,8,2,3,8,7,3,7
138,54,No,0,Travel_Rarely,Research & Development,17,3,Technical Degree,1,1013,3,Female,56,3,3,Manufacturing Director,3,Married,10739,13943,1441,8,Y,No,11,3,3,80,1,22,2,3,10,7,0,8
140,37,No,0,Travel_Rarely,Sales,3,3,Life Sciences,1,152,3,Male,87,3,3,Sales Executive,4,Single,7428,14506,1189,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3
141,56,No,0,Travel_Rarely,Research & Development,23,3,Life Sciences,1,1373,4,Male,68,3,4,Manufacturing Director,2,Married,13402,18235,1369,4,Y,Yes,12,3,1,80,1,33,0,3,19,16,15,9
142,58,No,0,Travel_Rarely,Research & Development,23,4,Life Sciences,1,1308,1,Male,88,3,1,Research Scientist,3,Divorced,2372,26076,848,1,Y,No,12,3,4,80,2,2,3,3,2,2,2,2
143,46,No,0,Travel_Rarely,Research & Development,7,2,Medical,1,1007,4,Male,75,3,3,Manufacturing Director,3,Divorced,10845,24208,566,6,Y,No,13,3,2,80,1,13,3,3,8,7,0,7
144,37,No,0,Travel_Rarely,Sales,6,4,Medical,1,378,3,Male,98,3,2,Sales Executive,4,Married,6502,22825,228,4,Y,No,14,3,2,80,1,7,5,4,5,4,0,1
145,40,No,0,Travel_Rarely,Research & Development,2,1,Medical,1,1375,2,Female,89,4,2,Healthcare Representative,3,Divorced,6377,13888,1202,5,Y,No,20,4,2,80,3,15,0,3,12,11,11,8
146,29,No,0,Non-Travel,Sales,2,3,Life Sciences,1,469,4,Male,61,3,2,Sales Executive,3,Married,4649,16928,746,1,Y,No,14,3,1,80,1,4,3,2,4,3,0,2
147,33,No,0,Travel_Rarely,Research & Development,14,3,Medical,1,252,4,Female,72,3,1,Research Scientist,2,Married,2756,4673,931,1,Y,No,13,3,4,80,1,8,5,3,8,7,1,6
148,33,No,0,Travel_Rarely,Sales,8,4,Life Sciences,1,1560,1,Male,46,3,2,Sales Executive,1,Married,6392,10589,1242,2,Y,No,13,3,4,80,1,8,6,1,2,2,2,2
149,24,No,0,Travel_Rarely,Research & Development,24,3,Medical,1,1173,4,Male,49,3,1,Laboratory Technician,2,Single,3597,6409,477,8,Y,No,22,4,4,80,0,6,2,3,4,3,1,2
150,28,No,0,Travel_Rarely,Research & Development,27,3,Medical,1,1622,2,Female,39,1,2,Manufacturing Director,1,Divorced,4877,20460,580,0,Y,No,21,4,2,80,1,6,5,2,5,3,0,0
152,32,No,0,Travel_Rarely,Sales,10,3,Marketing,1,722,4,Male,55,3,2,Sales Executive,4,Single,5396,21703,929,1,Y,No,12,3,4,80,0,10,2,2,10,7,0,8
153,32,No,0,Travel_Rarely,Sales,7,3,Life Sciences,1,420,4,Male,91,2,2,Sales Executive,3,Married,5484,16985,906,1,Y,No,14,3,3,80,1,13,3,2,13,8,4,8
154,41,No,0,Travel_Rarely,Research & Development,5,3,Life Sciences,1,1814,2,Male,85,4,2,Healthcare Representative,2,Single,6870,15530,447,3,Y,No,12,3,1,80,0,11,3,1,3,2,1,2
155,34,No,0,Travel_Rarely,Research & Development,10,3,Life Sciences,1,934,2,Male,83,3,1,Laboratory Technician,2,Divorced,2008,6896,546,1,Y,No,14,3,2,80,2,1,3,3,1,0,1,0
